"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","disbursement_method","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"","","12000","12000","11975"," 36 months"," 14.27%","411.71","C","C2","Rite aid","< 1 year","RENT","57000","Verified","Dec-2011","Fully Paid","n","","","debt_consolidation","Debt consolodation","931xx","CA","10.86","0","Aug-1998","1","","","7","0","9273","81.5%","11","f","0.00","0.00","14401.5957269059","14371.59","12000.00","2401.60","0.0","0.0","0.0","Dec-2013","5359.38","","Nov-2015","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","8500","8500","8500"," 36 months","  6.03%","258.71","A","A1","CVS/pharmacy","2 years","RENT","25000","Not Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/13/11 > Just trying to consolidate my credit cards to help get myself out of debt.<br>","credit_card","Credit Card Consolidation ","216xx","MD","1.73","0","Oct-2005","0","","","6","0","2463","28%","18","f","0.00","0.00","9074.821136118602","9074.82","8500.00","574.82","0.0","0.0","0.0","May-2013","4936.27","","May-2013","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","8000","8000","8000"," 36 months","  9.91%","257.8","B","B1","PNC Financial Services ","2 years","RENT","34000","Source Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/13/11 > I would like to pay down on my PNC Credit card which currently has an approx. balance of $4,200, pay down and close my Discover credit card which has a balance of approx. $2,200 and lastly pay down my Macy's store credit card which has balance of approx. $1,000. Once they are all paid down to zero balance, I would like to close them one by one. <br> Borrower added on 12/14/11 > Please try to fund this loan before time expires. I'm really trying to get my debts consolidated so I can pay them off earlier. If needed I will close both the PNC and Discover card so I can't use them anymore. If anyone has questions, please feel free to reach out to me. Thank you. <br>","credit_card","Credit Card","151xx","PA","18.28","0","Dec-2005","0","","","6","0","7434","78.5%","7","f","0.00","0.00","9280.7899999996","9280.79","8000.00","1280.79","0.0","0.0","0.0","Jan-2015","262.31","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","8000","8000","8000"," 36 months"," 12.42%","267.33","B","B4","City of Hillsboro","10+ years","RENT","40000","Not Verified","Dec-2011","Fully Paid","n","","","credit_card","Credit Card Loan","971xx","OR","15","0","May-2004","0","","","10","0","18601","88.2%","11","f","0.00","0.00","9623.5390866306","9623.54","8000.00","1623.54","0.0","0.0","0.0","Jan-2015","269.73","","Jan-2015","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","16000","16000","8150"," 60 months"," 15.27%","382.92","C","C4","US Army","10+ years","RENT","42656.4","Source Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/15/11 > I plan to use this loan as a debt consolidation loan. I will be able two pay off two other bills and still have a little left over to help my familey move into another house. I'v been serving in the Army for over 10 years now and plan on serving a least 20, I would make a good borrower due to the fact that im consistant on paying my bills on time until they are paid off.  This loan would help greatly in giving us a little more breathing room financially. I will not have any problem whatsoever paying on this loan monthley. Your help would be greatly appreciated.<br>","debt_consolidation","debt consolidation","305xx","GA","17.44","0","Oct-2001","1","","","4","0","12830","92.3%","17","f","0.00","0.00","22394.08","11406.98","16000.00","6394.08","0.0","0.0","0.0","Nov-2015","199.56","","Nov-2015","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","15000","15000","15000"," 36 months"," 17.27%","536.81","D","D3","Senior Dental Insurance Solutions","2 years","MORTGAGE","44400","Source Verified","Dec-2011","Fully Paid","n","","","house","home improvement","334xx","FL","3.59","1","Jun-1983","0","18","93","6","1","4582","91.6%","16","f","0.00","0.00","17994.7132487339","17994.71","15000.00","2994.71","0.0","0.0","0.0","Jun-2013","9412.4","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","10000","10000","10000"," 36 months","  9.91%","322.25","B","B1","Upper Valley Food Co-op","2 years","OWN","30000","Not Verified","Dec-2011","Fully Paid","n","","","debt_consolidation","Credit Card Payoff","050xx","VT","11.24","0","Feb-1995","1","","","8","0","9152","66.8%","30","f","0.00","0.00","11387.4404931067","11387.44","10000.00","1387.44","0.0","0.0","0.0","Jul-2014","369.43","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","10000","10000","10000"," 36 months","  6.62%","307.04","A","A2","Marshall Realty","5 years","MORTGAGE","70000","Not Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/14/11 > Thank you for helping me get this loan, I will be able to pay off all of my high APR credit cards!! <br>","credit_card","credit card payoff","129xx","NY","16.78","0","Aug-1994","0","","","9","0","10770","69%","18","f","0.00","0.00","10903.474302426199","10903.47","10000.00","903.47","0.0","0.0","0.0","Dec-2013","4152.52","","Aug-2015","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","8000","8000","8000"," 36 months"," 14.65%","275.96","C","C3","Studio 94 Corp","3 years","RENT","28000","Not Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/13/11 > Car and credit refinancing<br>","car","Car Loan","925xx","CA","12.6","0","Sep-2006","1","","","8","0","6187","54.3%","11","f","0.00","0.00","8637.0152046329","8637.02","8000.00","637.02","0.0","0.0","0.0","Aug-2012","6983.56","","Mar-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","22000","22000","22000"," 36 months","  9.91%","708.95","B","B1","St john hospital ","2 years","MORTGAGE","50000","Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/13/11 > Looking to consolidate high interest credit cards and to pay them off in no more than 3 years. <br>","debt_consolidation","High interest credit card consolidation","483xx","MI","13.22","0","Sep-1998","4","","","17","0","21470","49.8%","32","f","0.00","0.00","25523.449989779805","25523.45","22000.00","3523.45","0.0","0.0","0.0","Dec-2014","1430.05","","Dec-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","6000","6000","6000"," 36 months"," 14.27%","205.86","C","C2","American Airlines","10+ years","MORTGAGE","94800","Verified","Dec-2011","Fully Paid","n","","The car has been offered to us for an exceptionally attractive price. The mileage is low and the vehicle has been meticulously maintained.  We pay our bills on time and my job is stable.  Income shown is base salary only, and does not include an estimate for incentive compensation for 2012.  <br>  Borrower added on 12/15/11 > Thank you for your trust and investment.  I will meet my obligations.<br><br> Borrower added on 12/15/11 > Thanks for your trust and investment.<br><br> Borrower added on 12/16/11 > Thank you for your trust and investment.<br>","car","Auto Loan","760xx","TX","24.53","0","Mar-1986","1","","","13","0","71890","95.9%","30","f","0.00","0.00","7217.5475451001","7217.55","6000.00","1217.55","0.0","0.0","0.0","Dec-2013","1960.88","","Jun-2014","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","16000","16000","15975"," 60 months","  9.91%","339.25","B","B1","Indian river county clerk of court","10+ years","OWN","40000","Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/27/11 > This loan will be used to pay all revolving credit balances in order two have one monthly payment.<br>","debt_consolidation","Debt consolidation","329xx","FL","9.39","0","Jun-1993","1","","","6","0","13270","28.5%","23","f","0.00","0.00","20209.060000031","20177.48","16000.00","4209.06","0.0","0.0","0.0","Mar-2016","3585.81","","Jan-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","2500","2500","2500"," 36 months","  7.51%","77.78","A","A3","","n/a","OWN","12000","Source Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/13/11 > TO CONSOLIDATE BILLS<br><br> Borrower added on 12/13/11 > TO CONSOLIDATE MY BILLS<br> Borrower added on 12/14/11 > FOR CREDIT CARD PAY OFF <br><br> Borrower added on 12/14/11 > FOR DEBT CONSOLIDATION<br>","debt_consolidation","GET FREE OF DEBT","961xx","CA","16.3","0","Aug-1994","2","","","13","0","4853","42.2%","20","f","0.00","0.00","1838.88","1838.88","1575.06","253.74","0.0","10.08","0.0","Dec-2013","77.78","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","13500","13500","13500"," 36 months","  9.91%","435.04","B","B1","Feld Entertainment","2 years","MORTGAGE","36000","Source Verified","Dec-2011","Fully Paid","n","","","credit_card","Bye Bye Credit Cards","200xx","DC","22.93","0","Apr-1980","1","","","13","0","25011","67.2%","15","f","0.00","0.00","15622.3765604639","15622.38","13500.00","2122.38","0.0","0.0","0.0","Sep-2014","1706.24","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","25000","25000","25000"," 36 months"," 12.42%","835.39","B","B4","McGraw- Hill","2 years","RENT","225000","Verified","Dec-2011","Fully Paid","n","","","debt_consolidation","Consolidation loan","085xx","NJ","8.32","1","Jul-2004","0","13","","11","0","30449","34.6%","23","f","0.00","0.00","30073.680000001805","30073.68","25000.00","5073.68","0.0","0.0","0.0","Jan-2015","842.08","","Nov-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","10000","10000","10000"," 36 months"," 13.49%","339.31","C","C1","Samsung Information Systems America","2 years","RENT","45900","Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/15/11 > Plan to use funds for new restaurant business.  Currently have a steady job besides business.<br>","small_business","Small Business Loan","951xx","CA","24.97","0","Oct-2004","2","45","","10","0","8936","48.3%","12","f","0.00","0.00","12177.6254400066","12177.63","10000.00","2177.63","0.0","0.0","0.0","Sep-2014","1669.38","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","2500","2500","2500"," 36 months"," 13.49%","84.83","C","C1","Bartell Drugs","4 years","RENT","27200","Not Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/13/11 > I plan to use funds to consolidate a debt I have built up. I have been employed with a local Seattle Chain for nearly four and a half years. Making my quite employment secure. I have always paid all my debt and bills on time, its actually something I'm quite proud of, but I had great people in my life to teach that to me and I thankful for that. I'm the same way with my income as as well, If I don't money do something I don't do it. Receiving this funding would be extremely rewarding and would be able to this behind me. <br>","debt_consolidation","zipcar","981xx","WA","6.44","0","Jul-2008","0","","","6","0","3473","68.1%","6","f","0.00","0.00","3053.71","3053.71","2500.00","553.71","0.0","0.0","0.0","Jan-2015","95.98","","Jan-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","7325","7325","7325"," 36 months"," 12.69%","245.72","B","B5","Sensus Healthcare","1 year","RENT","42000","Not Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/13/11 > Loan requested for debt consolidation. Looking to clear debt and start saving more. Currently a college grad, working full-time, and taking the necessary steps towards an optimistic financial future. Please contact me with any questions or concerns. Thanks!<br>","debt_consolidation","Debt Consolidation","330xx","FL","22.57","0","May-1996","3","65","","12","0","7281","65%","29","f","0.00","0.00","8845.7500004562","8845.75","7325.00","1520.75","0.0","0.0","0.0","Jan-2015","249.25","","Jan-2015","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","4000","4000","4000"," 36 months"," 12.42%","133.67","B","B4","walgreens","5 years","RENT","135000","Verified","Dec-2011","Fully Paid","n","","","credit_card","credit card consolidation","103xx","NY","12.12","0","Jan-2004","3","","","11","0","29311","85.7%","21","f","0.00","0.00","4337.4252253951","4337.43","4000.00","337.43","0.0","0.0","0.0","Oct-2012","3270.11","","Nov-2015","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","10000","10000","10000"," 36 months"," 13.49%","339.31","C","C1","Edgestone Real Estate","5 years","RENT","65000","Not Verified","Dec-2011","Charged Off","n","","","small_business","Small Business Loan","927xx","CA","6.92","1","Dec-1999","2","19","","12","0","14292","69.5%","17","f","0.00","0.00","9270.84","9270.84","6799.56","2011.75","0.0","459.53","4.4878","Mar-2014","339.31","","Oct-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","7750","7750","7750"," 36 months"," 17.27%","277.36","D","D3","US Bank","< 1 year","RENT","24000","Not Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/13/11 > Using money to payoff title loan to sell a vehicle to then payoff this loan.<br> Borrower added on 12/14/11 > I work at a bank full time and starting school part time in January and am trying to sell one of two vehicles that I own to have extra money for debt consolidation and a new laptop.<br>","debt_consolidation","Payoff Loan","601xx","IL","16.1","0","Sep-2004","1","41","","4","0","2348","67.1%","7","f","0.00","0.00","6934.0","6934.00","4935.39","1986.70","0.0","11.91","0.0","Jan-2014","277.36","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","20000","20000","20000"," 60 months"," 20.89%","539.84","F","F1","Independent Imaging","6 years","RENT","70000","Source Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/13/11 > I need help to pay off my credit cards fast and just have one monthly bill.<br><br>  Borrower added on 12/14/11 > As I mentioned before, I need the loan to consolidate my debt. I was going through a difficult situation and had to rely on credit cards. Now that situation has passed and I would like to pay them all off and stay with one monthly payment. I have a stable job in the medical field.<br>","debt_consolidation","Loan to pay off Credit cards","334xx","FL","16.63","0","Nov-2002","1","","","10","0","10470","79.9%","24","f","0.00","0.00","5427.53","5427.53","1318.27","3034.08","0.0","1075.18","10.48","Oct-2012","591.09","","Oct-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","9600","9600","9600"," 36 months"," 12.42%","320.79","B","B4","Express LLC","10+ years","RENT","65000","Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/13/11 > I am very dependable. Pay all my bills On time!<br><br> Borrower added on 12/13/11 > I've worked for my company for over a decade!<br>","debt_consolidation","GetoutofDebt","117xx","NY","11.65","0","Aug-2002","0","","","6","0","11279","70.9%","11","f","0.00","0.00","11338.81667511457","11338.82","9600.00","1738.82","0.0","0.0","0.0","Jan-2014","3643.9","","Mar-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","21000","21000","21000"," 60 months"," 11.71%","464.07","B","B3","Calix","3 years","RENT","60000","Not Verified","Dec-2011","Charged Off","n","","","debt_consolidation","Consolidate me 2011","931xx","CA","6.62","0","Dec-1990","0","","","7","0","10543","79.9%","11","f","0.00","0.00","3712.559999999999","3712.56","2142.87","1565.37","0.0","4.32","0.0","Aug-2012","464.07","","Aug-2012","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","14000","14000","14000"," 36 months"," 10.65%","456.03","B","B2","MetLife","3 years","RENT","30000","Source Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/14/11 > I've been at my current job for 2 years.  I graduated from college in 2009, and and trying to consolidate and pay off the debt I accrued during school and in the beginning of my career.  I am a good borrower because my credit is extremely important to me.  I have never been late on a student loan payment, credit card payment, or any other type of payment.  I always keep at least 6 months of bill payments in cash and also have emergency money invested.  Thanks!<br>","credit_card","Credit Consolidation","063xx","CT","15.52","0","Sep-2006","0","","","7","0","15542","65.6%","14","f","0.00","0.00","15200.410470523802","15200.41","14000.00","1200.41","0.0","0.0","0.0","Dec-2012","10643.16","","Dec-2012","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","13350","13350","13350"," 36 months"," 12.42%","446.1","B","B4","Cajon Valley Union School District","10+ years","RENT","43000","Not Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/15/11 > I would like to take advantage of the much lower interest rate, so I can get these credit card accounts paid off and closed. I am able to meet my obligations, and I appreciate the opportunity to lower my interest rate  as well as working with real investors and getting away from the &quot;banking Industry&quot;.<br>","debt_consolidation","Debt Consolidation Loan","920xx","CA","20.57","0","May-1999","0","","","7","0","11531","95.3%","15","f","0.00","0.00","16059.3700018957","16059.37","13350.00","2709.37","0.0","0.0","0.0","Jan-2015","449.39","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","15000","15000","15000"," 36 months"," 16.77%","533.08","D","D2","Schneider National Inc","10+ years","RENT","42000","Verified","Dec-2011","Charged Off","n","","","debt_consolidation","Debt Consolidation Loan","543xx","WI","19.63","0","Aug-2001","2","","","10","0","8238","74.9%","38","f","0.00","0.00","13373.77","13373.77","8365.66","3923.40","0.0","1084.71","40.7831000068","Apr-2014","188.69","","Oct-2016","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","15000","15000","15000"," 36 months"," 17.27%","536.81","D","D3","Santa Clara County Public Defender","8 years","RENT","75000","Source Verified","Dec-2011","Charged Off","n","","","debt_consolidation","debt consolidation","951xx","CA","16.03","0","Mar-1991","0","48","","10","0","13505","75.9%","17","f","0.00","0.00","10199.39","10199.39","6944.85","3238.39","0.0","16.15","5.64","Aug-2013","536.81","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","11000","11000","10750"," 60 months"," 13.49%","253.06","C","C1","Department Of Health","10+ years","MORTGAGE","129000","Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/13/11 > I will be paying off the following:<br><br>2 High bank APR loan<br>both are in the 20%<br><br>Also the few extra dollars will allow us to enjoy the Holidays just a little bit better.<br><br>Thank You for your opprotunity<br><br> Borrower added on 12/13/11 > I will be paying of the following:<br><br>2 High bank APR Loans both at about 25%<br><br>The littel extra funds will allow us to have a happier Holidays to end a very challenging year.<br><br>Thank you for you r opprotunities.<br><br> Borrower added on 12/13/11 > I have been employed with my office for the past 12 years<br><br>I plan to pay off the following:<br><br>2 High APR bank loans both at about 25%<br><br>Also the few extra $$ will allow us to have a happier holiday that will end our every challenging year<br> Borrower added on 12/14/11 > I also forgot to mention that I have a very stable job and I have been with the same company in the same line of work for the past twelve years.<br>","debt_consolidation","Breathing Room","927xx","CA","10.94","0","Nov-1997","0","80","","10","0","1735","24.1%","31","f","0.00","0.00","15121.770016484","14778.09","11000.00","4121.77","0.0","0.0","0.0","Jun-2016","1962.65","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","35000","35000","35000"," 36 months"," 10.65%","1140.07","B","B2","baylor college of medicine","2 years","MORTGAGE","168000","Verified","Dec-2011","Fully Paid","n","","","debt_consolidation","pertsonal loan","775xx","TX","3.17","1","Dec-2002","1","22","","16","0","1099","1.4%","22","f","0.00","0.00","38061.50487639249","38061.50","35000.00","3061.50","0.0","0.0","0.0","Oct-2013","272.59","","Sep-2013","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","9000","9000","9000"," 36 months"," 10.65%","293.16","B","B2","","9 years","MORTGAGE","74000","Source Verified","Dec-2011","Fully Paid","n","","","credit_card","Credit Card Refi","570xx","SD","8.89","0","Sep-1998","0","","","7","0","7388","71.7%","10","f","0.00","0.00","10553.7400010876","10553.74","9000.00","1553.74","0.0","0.0","0.0","Jan-2015","6.65","","Sep-2017","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","22475","22475","22425"," 60 months"," 15.27%","537.87","C","C4","EDIT","7 years","MORTGAGE","52000","Verified","Dec-2011","Fully Paid","n","","  Borrower added on 12/13/11 > Pay off all credit cards.  Downpayment on used vehicle.<br>","debt_consolidation","Debt Consolidation","038xx","NH","15.23","0","Sep-1989","1","","","7","0","18554","61.8%","23","f","0.00","0.00","32080.6900365013","32009.32","22475.00","9605.69","0.0","0.0","0.0","May-2016","4649.32","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","N","","","","","",""
"","","16000","16000","16000"," 36 months"," 12.69%","536.72","B","B5","Marsh","1 year","RENT","58500","Source Verified","Dec-2011","Charged Off","n","","  Borrower added on 12/13/11 > This money will pay off my higher interest credit cards.  At that point I will be cutting up my cards and living off of a steady income while easily making the payments for this monthly.  This will truly balance my budget.<br>","debt_consolidation","Consolidation","606xx","IL","20.64","0","Sep-1994","0","","","8","0","26224","89.3%","10","f","0.00","0.00","12295.72","12295.72","9479.47","2778.95","26.835510871565","10.47","1.7799000029","May-2014","528.58","","Feb-2018","0","","1","Individual","","","","0","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","Cash","Y","May-2014","COMPLETE","Nov-2013","3171.48","33","0"
